motor_id,cycle,vibration_mean,vibration_std,temperature_mean,temperature_slope,current_mean,current_std,RUL
1,1,2.745,0.2885,40.95,0.0133,4.32,0.1144,125
1,2,2.779,0.332,41.26,0.0098,4.37,0.1039,125
1,3,2.512,0.3368,41.25,-0.0028,4.313,0.1432,125
1,4,2.569,0.305,42.08,0.0295,4.296,0.1651,125
1,5,2.333,0.3243,40.33,0.0251,4.458,0.16,125
1,6,2.433,0.3529,41.04,0.0073,4.432,0.1533,125
1,7,2.719,0.2904,40.79,0.0266,4.448,0.1498,125
1,8,3.227,0.2841,44.23,0.044,4.557,0.1542,125
1,9,2.529,0.3777,41.29,0.0126,4.374,0.139,125
1,10,3.03,0.3033,40.81,0.0031,4.313,0.0887,125
1,11,2.494,0.3989,41.26,0.016,4.295,0.1379,125
1,12,2.3,0.3024,44.16,0.0079,4.536,0.1477,125
1,13,2.711,0.3079,43.25,0.0123,4.583,0.1136,125
1,14,2.777,0.3669,42.4,0.002,4.371,0.1305,125
1,15,2.563,0.3806,42.67,-0.0049,4.264,0.0991,125
1,16,2.819,0.4515,41.76,0.0175,4.345,0.1073,125
1,17,2.314,0.3515,43.15,0.0117,4.598,0.1458,125
1,18,2.808,0.3819,42.75,0.0271,4.385,0.0724,125
1,19,2.86,0.3286,42.29,0.0326,4.362,0.1651,125
1,20,3.081,0.3853,43.49,0.0116,4.412,0.1745,125
1,21,3.038,0.4349,42.65,0.0328,4.458,0.1127,125
1,22,2.363,0.3134,43.31,0.0022,4.448,0.2089,125
1,23,3.097,0.4611,41.56,-0.0074,4.652,0.1043,125
1,24,2.922,0.3856,41.66,0.033,4.663,0.1646,125
1,25,2.905,0.3874,41.57,0.0154,4.504,0.1236,125
1,26,3.139,0.3096,42.27,-0.0044,4.571,0.1726,125
1,27,3.095,0.53,43.72,0.009,4.795,0.1239,125
1,28,3.151,0.4243,41.96,0.0327,4.571,0.1698,125
1,29,2.798,0.4554,42.04,0.0012,4.685,0.1411,125
1,30,2.992,0.4895,44.09,0.0257,4.657,0.1332,125
1,31,3.183,0.452,43.77,0.0176,4.182,0.1729,125
1,32,3.037,0.3811,43.85,0.0226,4.584,0.1128,125
1,33,2.657,0.4213,43.21,0.0217,4.587,0.1709,125
1,34,3.044,0.4137,43.45,0.0299,4.526,0.1833,125
1,35,3.208,0.4142,42.78,0.0246,4.671,0.1286,125
1,36,3.078,0.4153,42.65,0.015,4.437,0.1289,125
1,37,2.692,0.3843,42.81,0.0161,4.636,0.1576,125
1,38,2.907,0.3822,42.29,0.0199,4.584,0.213,125
1,39,3.487,0.4953,45.56,0.01,4.68,0.1884,125
1,40,3.236,0.5308,46.08,0.0322,4.685,0.133,125
1,41,2.85,0.4626,43.52,0.0095,4.614,0.1787,125
1,42,3.378,0.4254,43.39,0.0231,4.651,0.1341,125
1,43,3.366,0.5434,44.53,0.0089,4.65,0.1172,125
1,44,2.714,0.4699,43.85,0.0168,4.439,0.1333,125
1,45,3.226,0.4417,44.52,0.0392,4.621,0.1866,125
1,46,3.164,0.4184,43.65,0.0339,4.559,0.2079,125
1,47,3.582,0.4481,44.21,0.0105,4.905,0.2042,125
1,48,3.269,0.4523,44.46,0.0184,4.704,0.1483,125
1,49,3.364,0.4186,44.96,0.024,4.71,0.266,125
1,50,3.454,0.469,44.17,0.0152,4.798,0.2264,125
1,51,3.283,0.5426,44.07,0.0081,4.631,0.1478,125
1,52,3.212,0.4932,43.31,0.0254,4.724,0.1587,125
1,53,3.067,0.4693,45.17,0.0205,4.636,0.1776,125
1,54,3.38,0.4409,44.02,0.0245,4.609,0.1777,125
1,55,3.181,0.5504,43.9,0.0317,4.763,0.1507,125
1,56,3.023,0.452,45.14,0.0217,4.666,0.0984,125
1,57,3.249,0.4931,44.98,0.032,4.706,0.1797,125
1,58,3.57,0.4738,42.29,0.0383,4.638,0.229,125
1,59,3.799,0.5218,45.56,0.0469,4.643,0.1965,125
1,60,3.449,0.4384,46.72,0.0229,4.687,0.1981,125
1,61,3.661,0.4598,44.17,0.034,4.624,0.168,125
1,62,3.207,0.4713,44.68,0.0477,4.865,0.193,125
1,63,3.374,0.5398,45.31,0.0385,4.919,0.1633,125
1,64,2.881,0.4981,45.02,0.0328,4.728,0.1877,125
1,65,3.597,0.533,46.33,0.0086,4.63,0.2397,125
1,66,3.623,0.5451,44.77,0.0258,4.822,0.1688,125
1,67,3.102,0.453,45.23,0.0372,4.974,0.2094,125
1,68,3.616,0.5961,44.4,0.0216,4.762,0.1965,125
1,69,4.018,0.4973,46.54,0.0268,4.872,0.221,125
1,70,3.659,0.5555,44.6,0.0464,4.928,0.1807,125
1,71,3.666,0.4674,45.45,0.0204,4.909,0.2918,125
1,72,3.92,0.5607,44.51,0.0362,4.962,0.2014,125
1,73,3.599,0.4425,44.61,0.0142,5.042,0.2194,125
1,74,3.761,0.5202,44.07,0.0348,4.794,0.1773,125
1,75,3.607,0.539,45.4,0.0256,4.766,0.2077,125
1,76,3.913,0.4564,44.99,0.032,4.856,0.1909,125
1,77,4.103,0.5597,44.72,0.0151,4.862,0.2543,125
1,78,3.683,0.427,44.38,0.0355,4.993,0.2153,125
1,79,3.685,0.5996,47.07,0.0278,4.937,0.1835,125
1,80,3.393,0.5784,44.45,0.0366,4.931,0.2392,125
1,81,3.388,0.5712,45.81,0.0501,4.833,0.1813,125
1,82,3.814,0.5125,44.7,0.0446,4.957,0.1224,125
1,83,3.472,0.503,46.7,0.0506,5.127,0.2381,125
1,84,3.442,0.5049,45.16,0.041,5.054,0.1605,125
1,85,3.882,0.611,46.48,0.0688,4.988,0.2202,125
1,86,3.896,0.5405,45.13,0.041,5.057,0.2133,125
1,87,3.988,0.552,47.92,0.0392,5.002,0.2445,125
1,88,3.433,0.5648,48.18,0.0378,5.096,0.2492,125
1,89,3.327,0.6124,45.31,0.0403,4.921,0.2245,125
1,90,3.78,0.5923,46.01,0.0245,4.869,0.2525,125
1,91,4.243,0.5949,47.36,0.0481,4.84,0.17,125
1,92,3.812,0.4918,46.3,0.0239,4.922,0.2049,125
1,93,3.969,0.5571,45.49,0.0394,5.288,0.2433,125
1,94,3.366,0.5972,49.26,0.041,5.126,0.263,125
1,95,4.163,0.6483,47.03,0.0377,4.977,0.2345,125
1,96,3.986,0.535,46.53,0.0395,5.023,0.2228,125
1,97,4.095,0.5967,46.49,0.0278,4.941,0.2401,125
1,98,3.937,0.5031,47.85,0.0335,4.936,0.2678,125
1,99,4.211,0.5726,46.63,0.0286,5.114,0.2627,125
1,100,3.824,0.6809,47.96,0.0399,5.112,0.1871,125
1,101,3.882,0.627,47.09,0.0619,5.078,0.2489,125
1,102,3.629,0.6081,46.38,0.0652,5.012,0.2426,125
1,103,4.279,0.6535,45.81,0.0484,5.132,0.2348,125
1,104,4.105,0.629,45.89,0.0367,5.07,0.2238,125
1,105,4.137,0.6769,47.61,0.039,5.211,0.2467,125
1,106,4.104,0.5918,47.18,0.053,5.156,0.2381,125
1,107,4.031,0.643,46.51,0.0415,5.038,0.2033,125
1,108,4.081,0.629,46.05,0.0357,5.087,0.1593,125
1,109,4.103,0.6526,48.22,0.038,4.961,0.2661,125
1,110,3.726,0.6695,46.95,0.0341,5.139,0.2821,125
1,111,4.045,0.6332,46.0,0.0529,5.124,0.2414,125
1,112,4.425,0.5703,47.24,0.0449,5.094,0.1776,125
1,113,4.198,0.6502,48.81,0.0656,5.112,0.2634,125
1,114,4.188,0.6634,47.72,0.0494,5.251,0.2276,125
1,115,4.614,0.6833,48.22,0.0233,5.144,0.225,125
1,116,4.296,0.7089,49.13,0.0444,5.145,0.2685,125
1,117,3.641,0.6425,47.49,0.0516,5.113,0.2789,125
1,118,4.131,0.7101,50.31,0.0623,5.261,0.2921,125
1,119,4.101,0.6319,47.31,0.049,5.32,0.237,125
1,120,4.324,0.6112,46.99,0.0559,5.111,0.2386,125
1,121,4.714,0.6801,48.23,0.0454,5.229,0.24,125
1,122,4.248,0.7341,48.01,0.0242,5.129,0.2855,125
1,123,4.527,0.7011,49.81,0.0379,5.329,0.2699,125
1,124,4.43,0.543,49.34,0.0509,5.399,0.2704,125
1,125,4.031,0.6489,48.91,0.052,5.152,0.2339,125
1,126,4.667,0.6803,48.49,0.0439,5.362,0.3005,125
1,127,4.046,0.6915,47.7,0.0681,5.273,0.2598,125
1,128,4.231,0.7257,48.43,0.0653,5.143,0.2324,125
1,129,4.682,0.6803,50.16,0.059,5.107,0.2523,125
1,130,4.355,0.6936,49.1,0.0443,5.242,0.3018,125
1,131,4.689,0.6683,48.62,0.0495,5.122,0.3011,125
1,132,4.511,0.737,48.8,0.0598,5.36,0.3089,125
1,133,4.341,0.7315,48.58,0.0482,5.369,0.2769,124
1,134,4.359,0.7473,49.69,0.0442,5.213,0.2978,123
1,135,4.542,0.7098,50.28,0.051,5.092,0.2537,122
1,136,4.056,0.7806,49.65,0.0535,5.06,0.2344,121
1,137,4.4,0.6374,50.15,0.0516,5.285,0.278,120
1,138,4.214,0.6774,47.36,0.0532,5.347,0.274,119
1,139,4.395,0.6857,49.57,0.0288,5.203,0.2625,118
1,140,4.352,0.7467,49.19,0.0551,5.445,0.3246,117
1,141,4.654,0.8013,51.17,0.0576,5.187,0.3147,116
1,142,4.257,0.8351,51.22,0.049,5.224,0.2651,115
1,143,4.503,0.8092,48.32,0.0633,5.134,0.3233,114
1,144,4.518,0.7582,49.51,0.0642,5.385,0.3387,113
1,145,4.103,0.7061,48.32,0.0623,5.186,0.3622,112
1,146,4.583,0.8156,48.76,0.0574,5.425,0.2692,111
1,147,4.517,0.8355,51.05,0.0615,5.566,0.2332,110
1,148,4.661,0.7416,51.27,0.0672,5.493,0.2749,109
1,149,4.742,0.8178,51.2,0.0471,5.315,0.3013,108
1,150,4.964,0.7979,51.34,0.0372,5.363,0.3101,107
1,151,4.696,0.6755,51.12,0.0605,5.351,0.3322,106
